Song_name,Length_of_the_music,Artist,Producers,Language,Rating_of_the_song,Released_Year,Id
See You Again,03:49,Wiz Khalifa ft. Charlie Puth,Charlie Puth DJ Frank E Andrew Cedar,English,3.21 / 5,2015,1
Sorry,03:20,Justin Bieber,SB Films and Taktix Films,English,4.10 / 5,2015,2
Uptown Funk,04:30,Mark Ronson ft. Bruno Mars,Bruno Mars,English,4.00 / 5,2014,3
Blank Space,03:52,Taylor Swift,"Max Martin, Taylor Swift",English,3.50 / 5,2014,4
Shake It Off,03:40,Taylor Swift,"Max Martin, Taylor Swift",English,3.55 / 5,2014,5
Lean On,02:56,Major Lazer & Dj Shake ft. Mo,Per Welén,English,3.75 / 5,2015,6
Hello,04:55, Adele,"Nancy Grant, Xavier Dolan",English,4.20 / 5,2015,7
Sugar,02:54,Maroon 5,Adam Levine,English,4.20 / 5,2015,8
Roar,03:42,Kary Perry,Kary Perry,English,4.21 / 5,2013,9
All About That Bass,03:09,Meghan Trainor,Meghan Trainor,English,4.45 / 5,2014,10
